class,variable,value,period,deal,link,pub_date
C,PrincipalDistribution,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,PrincipalDistribution,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,PrincipalDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,InterestDistribution,4748.33,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,InterestDistribution,822624,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,InterestDistribution,788205.33,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,InterestDistribution,193125,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,InterestDistribution,60399,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,InterestDistribution,49563.5,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,InterestDistribution,38745,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,InterestDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,PassThroughDistribution,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,PassThroughDistribution,1175568.66,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,TotalDistribution,2327298.8,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,TotalDistribution,32179850.83,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,TotalDistribution,788205.33,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,TotalDistribution,193125,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,TotalDistribution,60399,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,TotalDistribution,49563.5,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,TotalDistribution,38745,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,TotalDistribution,1175568.66,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,PrincipalCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,PrincipalCarryoverShortfall,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,InterestCarryoverShortfall,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,InterestCarryoverShortfall,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,EndingNotePrincipalBalance,0,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-2,EndingNotePrincipalBalance,342562773.17,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-3,EndingNotePrincipalBalance,323920000,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-4,EndingNotePrincipalBalance,75000000,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
B,EndingNotePrincipalBalance,22370000,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
C,EndingNotePrincipalBalance,17340000,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
D,EndingNotePrincipalBalance,12300000,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
Certificates,EndingNotePrincipalBalance,,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
all,EndingNumberofReceivables,60563,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
all,EndingAggregateReceivablesPrincipalBalance,813625236.69,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
all,EndingAggregateAmountFinanced,813625236.69,2018-11-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000049/aart2018-2_exx99xnovember2.htm,2018-12-21T17:29:32Z
A-1,InitialNotePrincipalBalance,283000000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,InitialNotePrincipalBalance,373920000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,InitialNotePrincipalBalance,323920000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,InitialNotePrincipalBalance,75000000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,InitialNotePrincipalBalance,22370000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,InitialNotePrincipalBalance,17340000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,InitialNotePrincipalBalance,12300000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,InitialNotePrincipalBalance,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,BeginningNotePrincipalBalance,39171495.67,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,BeginningNotePrincipalBalance,373920000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,BeginningNotePrincipalBalance,323920000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,BeginningNotePrincipalBalance,75000000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,BeginningNotePrincipalBalance,22370000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,BeginningNotePrincipalBalance,17340000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,BeginningNotePrincipalBalance,12300000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,BeginningNotePrincipalBalance,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,NoteRate,2.3,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,NoteRate,2.64,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,NoteRate,2.92,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,NoteRate,3.09,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,NoteRate,3.24,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,NoteRate,3.43,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,NoteRate,3.78,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,NoteRate,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,PrincipalDistribution,36848945.2,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,PrincipalDistribution,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,PrincipalDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,InterestDistribution,77581.32,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,InterestDistribution,822624,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,InterestDistribution,788205.33,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,InterestDistribution,193125,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,InterestDistribution,60399,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,InterestDistribution,49563.5,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,InterestDistribution,38745,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,InterestDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,PassThroughDistribution,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,PassThroughDistribution,1223245.61,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,TotalDistribution,36926526.52,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,TotalDistribution,822624,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,TotalDistribution,788205.33,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,TotalDistribution,193125,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,TotalDistribution,60399,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,TotalDistribution,49563.5,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,TotalDistribution,38745,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,TotalDistribution,1223245.61,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,PrincipalCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,PrincipalCarryoverShortfall,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-3,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-4,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
B,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
C,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
D,InterestCarryoverShortfall,0,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
Certificates,InterestCarryoverShortfall,,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-1,EndingNotePrincipalBalance,2322550.47,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
A-2,EndingNotePrincipalBalance,373920000,2018-10-01,Ally Auto Receivables Trust 2018-2,https://www.sec.gov/Archives/edgar/data/1477336/000173651118000043/aart2018-2_exx99xoctober20.htm,2018-11-28T21:06:37Z
